         39002 function calls (38690 primitive calls) in 1.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.461    1.461 {built-in method builtins.exec}
        1    0.001    0.001    1.461    1.461 <string>:1(<module>)
        1    0.001    0.001    1.460    1.460 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/main_value_node.py:16(main)
        1    0.005    0.005    0.981    0.981 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:160(load)
        1    0.000    0.000    0.708    0.708 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_loading.py:74(parallel_load_samples_and_labels_from_all_csv_files)
      106    0.641    0.006    0.641    0.006 {method 'acquire' of '_thread.lock' objects}
       28    0.000    0.000    0.631    0.023 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/threading.py:288(wait)
       17    0.000    0.000    0.628    0.037 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:612(result_iterator)
       16    0.000    0.000    0.628    0.039 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:314(_result_or_cancel)
       16    0.000    0.000    0.628    0.039 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/concurrent/futures/_base.py:428(result)
        1    0.000    0.000    0.477    0.477 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/pipelines/feature_engineering/univariate_feature_selection.py:81(univariate_feature_selection_pipeline)
        1    0.001    0.001    0.426    0.426 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/pipelines/feature_engineering/univariate_feature_selection.py:29(__univariate_feature_selection_pipeline)
        1    0.001    0.001    0.424    0.424 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:120(f_classif)
        1    0.000    0.000    0.279    0.279 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:43(f_oneway)
        1    0.000    0.000    0.262    0.262 /home/onyr/code/phdtrack/phdtrack_project_3/src/data_processing/value_node_ml/data_loading/data_cleaning.py:27(clean)
        1    0.000    0.000    0.195    0.195 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/frame.py:10565(nunique)
        1    0.000    0.000    0.195    0.195 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/frame.py:9276(apply)
        1    0.000    0.000    0.195    0.195 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:645(apply)
        1    0.000    0.000    0.195    0.195 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:797(apply_standard)
        1    0.000    0.000    0.194    0.194 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:803(apply_series_generator)
       18    0.000    0.000    0.194    0.011 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/apply.py:132(f)
       18    0.000    0.000    0.194    0.011 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/base.py:1033(nunique)
       18    0.000    0.000    0.193    0.011 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/series.py:2127(unique)
       18    0.000    0.000    0.193    0.011 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/base.py:1024(unique)
       18    0.000    0.000    0.193    0.011 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/algorithms.py:295(unique)
       18    0.000    0.000    0.193    0.011 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/pandas/core/algorithms.py:415(unique_with_mask)
       18    0.192    0.011    0.192    0.011 {method 'unique' of 'pandas._libs.hashtable.Int32HashTable' objects}
       17    0.168    0.010    0.168    0.010 {method 'reduce' of 'numpy.ufunc' objects}
       40    0.000    0.000    0.151    0.004 {built-in method builtins.sum}
        3    0.001    0.000    0.151    0.050 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/sklearn/feature_selection/_univariate_selection.py:96(<genexpr>)
        4    0.000    0.000    0.144    0.036 {method 'sum' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.144    0.036 /home/onyr/anaconda3/envs/phdtrack-311/lib/python3.11/site-packages/numpy/core/_methods.py:47(_sum)
       25    0.068    0.003    0.136    0.005 {built-in method numpy.core._multiarray_umath.implement_array_function}
